kata,aspek,sentimen
dan,kenyamanan,positif
luar,kenyamanan,positif
cocok,kenyamanan,positif
sekali,kenyamanan,positif
tempat,kenyamanan,positif
temu,kenyamanan,positif
dar,kenyamanan,positif
tongkrong,kenyamanan,positif
minum,rasa,positif
makan,rasa,positif
enak,rasa,positif
untuk,pelayanan,negatif
layan,pelayanan,negatif
khusus,pelayanan,negatif
lantai,pelayanan,negatif
kurang,pelayanan,negatif
sekali,pelayanan,negatif
ada,pelayanan,negatif
satu,pelayanan,negatif
pegawai,pelayanan,negatif
layan,pelayanan,negatif
lantai,pelayanan,negatif
nyaman,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
anak,kenyamanan,positif
muda,kenyamanan,positif
surabaya,kenyamanan,positif
barat,kenyamanan,positif
cuman,harga,negatif
harga,harga,negatif
nya,harga,negatif
aja,harga,negatif
mahal,harga,negatif
menu,umum,netral
sedikit,umum,netral
kurang,umum,netral
variatif,umum,netral
saran,umum,netral
kasih,umum,netral
langsung,umum,netral
musik,umum,netral
hehehhe,umum,netral
kafe,umum,positif
kopi,umum,positif
indonesia,umum,positif
area,umum,positif
dekat,umum,positif
mall,umum,positif
saji,umum,positif
beberapa,umum,positif
biji,umum,positif
kopi,umum,positif
origin,umum,positif
wilayah,umum,positif
indonesia,umum,positif
lokasi,umum,positif
dekat,umum,positif
jalan,umum,positif
utama,umum,positif
cukup,umum,positif
mudah,umum,positif
jangkau,umum,positif
area,umum,positif
parkir,umum,positif
luas,umum,positif
depan,umum,positif
dalam,umum,positif
area,umum,positif
komplek,umum,positif
dapat,umum,positif
area,umum,positif
rokok,umum,positif
lantai,umum,positif
dasar,umum,positif
atas,umum,positif
kopi,rasa,positif
manual,rasa,positif
buat,rasa,positif
v60,rasa,positif
cukup,rasa,positif
enak,rasa,positif
saji,rasa,positif
oke,rasa,positif
layan,pelayanan,positif
cukup,pelayanan,positif
ramah,pelayanan,positif
diskusi,pelayanan,positif
barista,pelayanan,positif
kait,pelayanan,positif
kopi,pelayanan,positif
aneka,pelayanan,positif
info,pelayanan,positif
tanamera,pelayanan,positif
suasana,kenyamanan,positif
kafe,kenyamanan,positif
dominan,kenyamanan,positif
modern,kenyamanan,positif
nyaman,kenyamanan,positif
kopi,kenyamanan,positif
tempat,kenyamanan,positif
enak,kenyamanan,positif
nyaman,kenyamanan,positif
staf,pelayanan,negatif
kurang,pelayanan,negatif
profesional,pelayanan,negatif
ramah,pelayanan,negatif
proaktif,pelayanan,negatif
beri,pelayanan,negatif
rekomendasi,pelayanan,negatif
buat,pelayanan,negatif
keluarga,pelayanan,negatif
baru,pelayanan,negatif
pertama,pelayanan,negatif
datang,pelayanan,negatif
kesini,pelayanan,negatif
makan,pelayanan,negatif
persen,pelayanan,negatif
salmon,pelayanan,negatif
lupa,pelayanan,negatif
nama,pelayanan,negatif
komplitnya,pelayanan,negatif
terus,pelayanan,negatif
keluar,pelayanan,negatif
besar,pelayanan,negatif
sarap,pelayanan,negatif
komplain,pelayanan,negatif
staf,pelayanan,negatif
sensitif,pelayanan,negatif
dan,pelayanan,negatif
langsung,pelayanan,negatif
ramah,pelayanan,negatif
rasa,rasa,negatif
tidak,rasa,negatif
enak,rasa,negatif
saran,umum,negatif
beri,umum,negatif
nota,umum,negatif
konfirmasi,umum,negatif
mes,umum,negatif
di,umum,negatif
restoran,umum,negatif
kafe,umum,negatif
lain,umum,negatif
catat,umum,negatif
bisa,umum,negatif
konfirmasi,umum,negatif
pesan,umum,negatif
apa,umum,negatif
supaya,umum,negatif
salah,umum,negatif
bangun,kenyamanan,positif
unik,kenyamanan,positif
suka,kenyamanan,positif
sekali,kenyamanan,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
yang,kenyamanan,positif
lantai,kenyamanan,positif
jumat,kenyamanan,positif
malam,kenyamanan,positif
langsung,kenyamanan,positif
musik,kenyamanan,positif
tau,kenyamanan,positif
kalau,kenyamanan,positif
hari,kenyamanan,positif
kerja,kenyamanan,positif
juga,kenyamanan,positif
minum,harga,netral
harga,harga,netral
jangkau,harga,netral
sen,harga,netral
coklat,harga,netral
cuma,harga,netral
dingin,harga,netral
putih,harga,netral
buat,harga,netral
camlian,harga,netral
dan,harga,netral
utama,harga,netral
menu,harga,netral
harga,harga,netral
lumayan,harga,netral
sih,harga,netral
sen,harga,netral
french,harga,netral
fries,harga,netral
40rb,harga,netral
harga,harga,netral
rasa,harga,netral
oke,harga,netral
padan,harga,netral
sama,harga,netral
harga,harga,netral
rekomendasi,rasa,positif
memang,rasa,positif
dingin,rasa,positif
buat,rasa,positif
karamel,rasa,positif
sih,rasa,positif
baik,rasa,positif
tempat,kenyamanan,positif
nya,kenyamanan,positif
nyaman,kenyamanan,positif
nyaman,kenyamanan,positif
lokasi,umum,positif
nya,umum,positif
strategis,umum,positif
menu,umum,positif
andal,umum,positif
nya,umum,positif
kopi,umum,positif
nya,umum,positif
suasana,kenyamanan,positif
nyaman,kenyamanan,positif
banget,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
sama,kenyamanan,positif
temen,kenyamanan,positif
pacar,kenyamanan,positif
atau,kenyamanan,positif
keluarga,kenyamanan,positif
ciri,umum,positif
khas,umum,positif
bangun,umum,positif
warna,umum,positif
abu,umum,positif
abu,umum,positif
merah,umum,positif
buat,umum,positif
tanamera,umum,positif
kopi,umum,positif
jadi,umum,positif
lebih,umum,positif
autentik,umum,positif
lebih,umum,positif
punya,umum,positif
ciri,umum,positif
khas,umum,positif
spot,umum,positif
ku,umum,positif
bagus,umum,positif
foto,umum,positif
siang,umum,positif
atau,umum,positif
malam,umum,positif
ku,umum,positif
minum,umum,positif
kopi,umum,positif
sini,umum,positif
tetap,umum,positif
nyaman,umum,positif
kok,umum,positif
selamat,umum,positif
coba,umum,positif
harga,harga,netral
mulai,harga,netral
20k,harga,netral
baik,harga,netral
makan,harga,netral
minum,harga,netral
kali,rasa,positif
aku,rasa,positif
coba,rasa,positif
dingin,rasa,positif
putih,rasa,positif
kopi,rasa,positif
kemas,rasa,positif
nya,rasa,positif
botol,rasa,positif
kasih,rasa,positif
es,rasa,positif
rasa,rasa,positif
oke,rasa,positif
tapi,rasa,positif
buat,rasa,positif
aku,rasa,positif
cinta,rasa,positif
kopi,rasa,positif
rasa,rasa,positif
sedikit,rasa,positif
manis,rasa,positif
kalian,rasa,positif
mungkin,rasa,positif
coba,rasa,positif
kopi,rasa,positif
lebih,rasa,positif
kuat,rasa,positif
makan,rasa,positif
jauh,rasa,positif
good,rasa,positif
banyak,rasa,positif
cemilan,rasa,positif
dan,rasa,positif
makan,rasa,positif
berat,rasa,positif
yang,rasa,positif
sedia,rasa,positif
di,rasa,positif
sini,rasa,positif
parkir,umum,positif
sangat,umum,positif
luas,umum,positif
tempat,umum,positif
cukup,umum,positif
luas,umum,positif
bagus,umum,positif
suasana,umum,positif
beberapa,pelayanan,positif
baristanya,pelayanan,positif
sangat,pelayanan,positif
ramah,pelayanan,positif
komunikatif,pelayanan,positif
sudah,rasa,positif
ragu,rasa,positif
telah,rasa,positif
kalau,rasa,positif
kopi,rasa,positif
sayang,rasa,positif
ke,rasa,positif
sana,rasa,positif
si,rasa,positif
dingin,rasa,positif
putih,rasa,positif
karamel,rasa,positif
pas,rasa,positif
habis,rasa,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
enak,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
sama,kenyamanan,positif
temen,kenyamanan,positif
temen,kenyamanan,positif
bangun,kenyamanan,positif
unik,kenyamanan,positif
dua,kenyamanan,positif
lantai,kenyamanan,positif
aku,kenyamanan,positif
sih,kenyamanan,positif
demen,kenyamanan,positif
lantai,kenyamanan,positif
kopi,rasa,positif
oke,rasa,positif
utama,rasa,positif
dingin,rasa,positif
putih,rasa,positif
karena,rasa,positif
tidak,rasa,positif
minum,rasa,positif
terlalu,rasa,positif
kafein,rasa,positif
sekarang,rasa,positif
jadi,rasa,positif
sen,rasa,positif
chamomile,rasa,positif
tea,rasa,positif
biasa,umum,netral
hari,umum,netral
akhir,umum,netral
pekan,umum,netral
ramai,umum,netral
utama,umum,netral
sore,umum,netral
hari,umum,netral
tanamera,kenyamanan,positif
graha,kenyamanan,positif
kalau,kenyamanan,positif
ramai,kenyamanan,positif
tempat,kenyamanan,positif
asik,kenyamanan,positif
banget,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
ada,kenyamanan,positif
lantai,kenyamanan,positif
nya,kenyamanan,positif
dingin,rasa,positif
buat,rasa,positif
kelapa,rasa,positif
nya,rasa,positif
lumayan,rasa,positif
dari,rasa,positif
makan,rasa,positif
berat,rasa,positif
dan,rasa,positif
enak,rasa,positif
kok,rasa,positif
daftar,rasa,positif
menu,rasa,positif
ada,rasa,positif
di,rasa,positif
bawah,rasa,positif
perlu,rasa,positif
pertama,umum,positif
kali,umum,positif
coba,umum,positif
kesini,umum,positif
kemarin,umum,positif
malam,umum,positif
sabtu,umum,positif
malam,umum,positif
padahal,umum,positif
benar,umum,positif
kenal,umum,positif
tempat,umum,positif
bakal,umum,positif
nyaman,umum,positif
buat,umum,positif
tongkrong,umum,positif
sore,umum,positif
sore,umum,positif
jelang,umum,positif
matahari,umum,positif
benam,umum,positif
simpel,umum,positif
pandang,umum,positif
tempat,umum,positif
nyaman,umum,positif
aja,umum,positif
nyata,umum,positif
malam,umum,positif
cukup,umum,positif
nyaman,umum,positif
terang,umum,positif
gelap,umum,positif
tapi,umum,positif
terang,umum,positif
terang,umum,positif
masih,umum,positif
batas,umum,positif
zona,umum,positif
nyaman,umum,positif
ya,umum,positif
terus,umum,positif
langsung,umum,positif
musik,umum,positif
nya,umum,positif
tau,umum,positif
khusus,umum,positif
sabtu,umum,positif
malam,umum,positif
akhir,umum,positif
pekan,umum,positif
aja,umum,positif
emang,umum,positif
malam,umum,positif
ada,umum,positif
harga,harga,netral
masih,harga,netral
manusiawi,harga,netral
ukur,harga,netral
kafe,harga,netral
surabaya,harga,netral
minum,harga,netral
30,harga,netral
an,harga,netral
kayak,harga,netral
nya,harga,netral
aku,rasa,positif
pesan,rasa,positif
es,rasa,positif
hijau,rasa,positif
tea,rasa,positif
kopi,rasa,positif
kecuali,rasa,positif
ppn,rasa,positif
dan,rasa,positif
layan,rasa,positif
pajak,rasa,positif
enak,rasa,positif
sedikit,rasa,positif
manis,rasa,positif
buat,rasa,positif
aku,rasa,positif
mungkin,rasa,positif
kalau,rasa,positif
buat,rasa,positif
orang,rasa,positif
tidak,rasa,positif
tempat,kenyamanan,positif
oke,kenyamanan,positif
sih,kenyamanan,positif
kopi,rasa,positif
makan,rasa,positif
oke,rasa,positif
cuman,pelayanan,negatif
perlu,pelayanan,negatif
baik,pelayanan,negatif
sumber,pelayanan,negatif
daya,pelayanan,negatif
manusia,pelayanan,negatif
nya,pelayanan,negatif
baik,pelayanan,negatif
bagi,pelayanan,negatif
luar,pelayanan,negatif
bagi,pelayanan,negatif
dapur,pelayanan,negatif
pesan,pelayanan,negatif
datang,pelayanan,negatif
sesuai,pelayanan,negatif
beberapa,pelayanan,negatif
kemudian,pelayanan,negatif
keluar,pelayanan,negatif
pesan,pelayanan,negatif
benar,pelayanan,negatif
harga,harga,negatif
kurang,harga,negatif
sesuai,harga,negatif
layan,harga,negatif
lokasi,umum,positif
strategis,umum,positif
parkir,umum,positif
mudah,umum,positif
tempat,umum,positif
nyaman,umum,positif
dalam,umum,positif
luar,umum,positif
menu,rasa,netral
aneka,rasa,netral
ragam,rasa,netral
mulai,rasa,netral
salad,rasa,netral
sop,rasa,netral
steak,rasa,netral
sandwich,rasa,netral
hidang,rasa,netral
tutup,rasa,netral
tentu,rasa,netral
kopi,rasa,netral
cocok,kenyamanan,positif
tongkrong,kenyamanan,positif
nikmat,kenyamanan,positif
aku,kenyamanan,positif
waktu,kenyamanan,positif
maupun,kenyamanan,positif
kumpul,kenyamanan,positif
sama,kenyamanan,positif
teman,kenyamanan,positif
keluarga,kenyamanan,positif
layan,pelayanan,positif
ramah,pelayanan,positif
suasana,kenyamanan,positif
nyaman,kenyamanan,positif
banget,kenyamanan,positif
pas,kenyamanan,positif
banget,kenyamanan,positif
tempat,kenyamanan,positif
layan,pelayanan,positif
baik,pelayanan,positif
kopi,rasa,positif
juara,rasa,positif
makan,rasa,positif
enak,rasa,positif
panas,rasa,netral
kopi,rasa,netral
oke,rasa,netral
untuk,rasa,netral
dingin,rasa,netral
buat,rasa,netral
kurang,rasa,netral
suka,rasa,netral
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
banget,kenyamanan,positif
enak,kenyamanan,positif
banget,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
harga,harga,negatif
mahal,harga,negatif
nih,harga,negatif
autentik,rasa,positif
rasa,rasa,positif
kopi,rasa,positif
rasa,rasa,positif
asli,rasa,positif
kopi,rasa,positif
sungguh,rasa,positif
dekorasi,umum,positif
suasana,umum,positif
dukung,umum,positif
buat,umum,positif
orang,umum,positif
nenikmati,umum,positif
kopi,umum,positif
tidak,umum,positif
rokok,umum,positif
area,umum,positif
rokok,umum,positif
area,umum,positif
temu,umum,positif
ruang,umum,positif
tempat,kenyamanan,positif
cukup,kenyamanan,positif
nyaman,kenyamanan,positif
dar,kenyamanan,positif
habis,kenyamanan,positif
waktu,kenyamanan,positif
sama,kenyamanan,positif
teman,kenyamanan,positif
keluarga,kenyamanan,positif
kopi,rasa,positif
enak,rasa,positif
tidak,rasa,positif
asal,rasa,positif
asal,rasa,positif
tempat,umum,positif
tongkrong,umum,positif
minum,umum,positif
kopi,umum,positif
ramai,umum,positif
suasana,umum,positif
harga,harga,netral
makan,harga,netral
minum,harga,netral
jangkau,harga,netral
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
dapat,kenyamanan,positif
luar,kenyamanan,positif
dalam,kenyamanan,positif
layan,pelayanan,positif
ramah,pelayanan,positif
sekali,pelayanan,positif
makan,rasa,positif
minum,rasa,positif
enak,rasa,positif
harga,harga,negatif
mahal,harga,negatif
menu,umum,netral
makan,umum,netral
barat,umum,netral
plus,umum,netral
indonesia,umum,netral
sop,umum,netral
buntut,umum,netral
hingga,umum,netral
cireng,umum,netral
di,umum,netral
sini,umum,netral
agam,umum,netral
pilih,umum,netral
kopi,umum,netral
teh,umum,netral
minum,umum,netral
lain,umum,netral
pilih,rasa,positif
tangerine,rasa,positif
americano,rasa,positif
segar,rasa,positif
panas,rasa,positif
surabaya,rasa,positif
tempat,umum,positif
mewah,umum,positif
cukup,umum,positif
bagus,umum,positif
yang,umum,positif
suguh,umum,positif
kopi,umum,positif
indonesia,umum,positif
buat,umum,positif
nilai,umum,positif
kopi,umum,positif
indonesia,umum,positif
naik,umum,positif
kelas,umum,positif
sayang,pelayanan,negatif
layan,pelayanan,negatif
cermin,pelayanan,negatif
indonesia,pelayanan,negatif
nya,pelayanan,negatif
saran,pelayanan,negatif
depan,pelayanan,negatif
layan,pelayanan,negatif
bisa,pelayanan,negatif
lebih,pelayanan,negatif
ramah,pelayanan,negatif
kenal,pelayanan,negatif
ramah,pelayanan,negatif
indonesia,pelayanan,negatif
dunia,pelayanan,negatif
luar,pelayanan,negatif
walaupun,pelayanan,negatif
langgan,pelayanan,negatif
akhir,pelayanan,negatif
pesan,pelayanan,negatif
teh,pelayanan,negatif
panas,pelayanan,negatif
dan,pelayanan,negatif
pun,pelayanan,negatif
saji,pelayanan,negatif
saji,pelayanan,negatif
panas,pelayanan,negatif
kenal,rasa,negatif
kopi,rasa,negatif
pada,rasa,negatif
minum,rasa,negatif
kopi,rasa,negatif
sangat,rasa,negatif
asa,rasa,negatif
banyak,rasa,negatif
air,rasa,negatif
alias,rasa,negatif
enak,rasa,negatif
saya,rasa,negatif
datang,rasa,negatif
tanggal,rasa,negatif
april,rasa,negatif
kopi,rasa,negatif
buat,rasa,negatif
tanggal,rasa,negatif
maret,rasa,negatif
dalam,rasa,negatif
waktu,rasa,negatif
hari,rasa,negatif
rasa,rasa,negatif
ubah,rasa,negatif
tidak,rasa,negatif
asa,rasa,negatif
kopi,rasa,negatif
kunjung,rasa,negatif
akhir,rasa,negatif
saya,rasa,negatif
sayang,umum,negatif
kadang,umum,negatif
setel,umum,negatif
musik,umum,negatif
terlalu,umum,negatif
kencang,umum,negatif
enak,rasa,positif
tempat,umum,positif
minum,umum,positif
kopi,umum,positif
kompleks,umum,positif
holy,umum,positif
carls,umum,positif
bakmi,umum,positif
pizza,umum,positif
birra,umum,positif
kafe,umum,positif
le,umum,positif
gourmand,umum,positif
kafe,umum,positif
